City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
654,Abnub,EG,85.86,clear sky,27.27,31.15,حارة علام
661,Polson,US,89.22,few clouds,47.69,-114.16,Americas Best Value Port Polson Inn
662,Salobrena,ES,86.47,clear sky,36.74,-3.59,Impressive Playa Granada Golf
664,Sarangani,PH,82.9,overcast clouds,5.4,125.46,JVL Inn and Cafeteria
666,Santo Antonio Do Ica,BR,76.14,broken clouds,-3.1,-67.94,Hotel Farias
669,Ormara,PK,82.71,overcast clouds,25.21,64.64,Kenara Colony House for Rent
672,Road Town,VG,82.49,clear sky,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
674,Manokwari,ID,81.09,broken clouds,-0.87,134.08,Swiss Belhotel Manokwari
675,Nha Trang,VN,77.0,overcast clouds,12.25,109.18,Hanoi Golden Hotel
679,Sabla,NG,82.74,overcast clouds,12.75,4.71,
